set,position,name,bleed,curse,fire,lightning,magic,physical,poise,poison,weight,weight_modifier,health_modifier,stamina_modifier,stamina_regeneration
Naked,Head,Naked Head,0,0,0,0,0,0,0,0,0,0,0,0,0
Naked,Torso,Naked Torso,0,0,0,0,0,0,0,0,0,0,0,0,0
Naked,Arms,Naked Arms,0,0,0,0,0,0,0,0,0,0,0,0,0
Naked,Legs,Naked Legs,0,0,0,0,0,0,0,0,0,0,0,0,0
Warrior,Head,Standard Helm+10,12.6,0,19.4,7.3,19.4,33.9,5,11.2,3.5,0,0,0,0
Warrior,Torso,Hard Leather Armor+10,32.2,0,31.5,55.7,48.4,62.9,0,28,5.9,0,0,0,0
Warrior,Arms,Hard Leather Gauntlets+10,19.6,0,16.9,31.5,29,31.5,0,16.8,3.5,0,0,0,0
Warrior,Legs,Hard Leather Boots+10,19.6,0,16.9,31.5,29,31.5,0,16.8,3.5,0,0,0,0
Knight,Head,Knight Helm+10,12.6,0,19.4,12.1,14.5,33.9,8,8.4,4.2,0,0,0,0
Knight,Torso,Knight Armor+10,32.2,0,43.6,31.5,38.7,89.5,20,22.4,10.9,0,0,0,0
Knight,Arms,Knight Gauntlets+10,11.2,0,19.4,9.7,16.9,41.1,6,7,3.5,0,0,0,0
Knight,Legs,Knight Leggings+10,19.6,0,26.6,19.4,24.2,53.2,12,12.6,6.4,0,0,0,0
Wanderer,Head,Wanderer Hood+10,11.2,0,24.2,21.8,19.4,21.8,0,11.2,1.4,0,0,0,0
Wanderer,Torso,Wanderer Coat+10,29.4,0,62.9,55.7,50.8,55.7,0,29.4,3.5,0,0,0,0
Wanderer,Arms,Wanderer Manchette+10,18.2,0,36.3,31.5,29,33.9,0,18.2,2.1,0,0,0,0
Wanderer,Legs,Wanderer Boots+10,18.2,0,36.3,31.5,29,33.9,0,18.2,2.1,0,0,0,0
Thief,Head,Thief Mask+10,12.6,0,12.1,14.5,19.4,21.8,0,16.8,1.2,0,0,0,0
Thief,Torso,Black Leather Armor+10,32.2,0,33.9,38.7,48.4,55.7,0,43.4,3.1,0,0,0,0
Thief,Arms,Black Leather Gloves+10,19.6,0,19.4,21.8,29,31.5,0,25.2,1.8,0,0,0,0
Thief,Legs,Black Leather Boots+10,32.2,0,31.5,36.3,46,29,0,43.4,3,0,0,0,0
